time,node_id,x,P(Pa),P(MPa),v,T(C),visc(cSt),rho
0.500000,0,0.000000,5000000.000000,5.000000,0.035700,40.000000,31.434913,835.473157
0.500000,1,1020.408163,4938774.967314,4.938775,0.035701,39.999717,31.434913,835.436394
0.500000,2,2040.816327,4877550.616383,4.877551,0.035702,40.000000,31.434913,835.399241
0.500000,3,3061.224490,4816326.091039,4.816326,0.035704,39.999717,31.434913,835.362482
0.500000,4,4081.632653,4755101.610312,4.755102,0.035705,40.000000,31.434913,835.325332
0.500000,5,5102.040816,4693877.118172,4.693877,0.035707,39.999717,31.434913,835.288576
0.500000,6,6122.448980,4632652.628951,4.632653,0.035709,40.000000,31.434913,835.251429
0.500000,7,7142.857143,4571428.138985,4.571428,0.035710,39.999717,31.434913,835.214677
0.500000,8,8163.265306,4510203.649208,4.510204,0.035712,40.000000,31.434913,835.177534
0.500000,9,9183.673469,4448979.159384,4.448979,0.035713,39.999717,31.434913,835.140784
0.500000,10,10204.081633,4387754.669571,4.387755,0.035715,40.000000,31.434913,835.103644
0.500000,11,11224.489796,4326530.179756,4.326530,0.035716,39.999717,31.434913,835.066898
0.500000,12,12244.897959,4265305.689940,4.265306,0.035718,40.000000,31.434913,835.029761
0.500000,13,13265.306122,4204081.200126,4.204081,0.035720,39.999717,31.434913,834.993018
0.500000,14,14285.714286,4142856.710310,4.142857,0.035721,40.000000,31.434913,834.955885
0.500000,15,15306.122449,4081632.220495,4.081632,0.035723,39.999717,31.434913,834.919145
0.500000,16,16326.530612,4020407.730680,4.020408,0.035724,40.000000,31.434913,834.882015
0.500000,17,17346.938776,3959183.240865,3.959183,0.035726,39.999717,31.434913,834.845279
0.500000,18,18367.346939,3897958.751050,3.897959,0.035727,40.000000,31.434913,834.808152
0.500000,19,19387.755102,3836734.261235,3.836734,0.035729,39.999717,31.434913,834.771419
0.500000,20,20408.163265,3775509.771420,3.775510,0.035731,40.000000,31.434913,834.734295
0.500000,21,21428.571429,3714285.281605,3.714285,0.035732,39.999717,31.434913,834.697565
0.500000,22,22448.979592,3653060.791789,3.653061,0.035734,40.000000,31.434913,834.660445
0.500000,23,23469.387755,3591836.301975,3.591836,0.035735,39.999717,31.434913,834.623718
0.500000,24,24489.795918,3530611.812159,3.530612,0.035737,40.000000,31.434913,834.586601
0.500000,25,25510.204082,3469387.322345,3.469387,0.035739,39.999717,31.434913,834.549878
0.500000,26,26530.612245,3408162.832529,3.408163,0.035740,40.000000,31.434913,834.512764
0.500000,27,27551.020408,3346938.342715,3.346938,0.035742,39.999717,31.434913,834.476044
0.500000,28,28571.428571,3285713.852899,3.285714,0.035743,40.000000,31.434913,834.438934
0.500000,29,29591.836735,3224489.363085,3.224489,0.035745,39.999717,31.434913,834.402217
0.500000,30,30612.244898,3163264.873269,3.163265,0.035746,40.000000,31.434913,834.365110
0.500000,31,31632.653061,3102040.383455,3.102040,0.035748,39.999717,31.434913,834.328396
0.500000,32,32653.061224,3040815.893639,3.040816,0.035750,40.000000,31.434913,834.291292
0.500000,33,33673.469388,2979591.403824,2.979591,0.035751,39.999717,31.434913,834.254582
0.500000,34,34693.877551,2918366.914009,2.918367,0.035753,40.000000,31.434913,834.217481
0.500000,35,35714.285714,2857142.424194,2.857142,0.035754,39.999717,31.434913,834.180774
0.500000,36,36734.693878,2795917.934379,2.795918,0.035756,40.000000,31.434913,834.143677
0.500000,37,37755.102041,2734693.444564,2.734693,0.035758,39.999717,31.434913,834.106973
0.500000,38,38775.510204,2673468.954748,2.673469,0.035759,40.000000,31.434913,834.069879
0.500000,39,39795.918367,2612244.464934,2.612244,0.035761,39.999717,31.434913,834.033178
0.500000,40,40816.326531,2551019.975116,2.551020,0.035762,40.000000,31.434913,833.996087
0.500000,41,41836.734694,2489795.485312,2.489795,0.035764,39.999717,31.434913,833.959390
0.500000,42,42857.142857,2428570.995457,2.428571,0.035765,40.000000,31.434913,833.922303
0.500000,43,43877.551020,2367346.505794,2.367347,0.035767,39.999717,31.434913,833.885608
0.500000,44,44897.959184,2306122.015388,2.306122,0.035769,39.999999,31.434913,833.848524
0.500000,45,45918.367347,2244897.527885,2.244898,0.035770,39.999717,31.434913,833.811833
0.500000,46,46938.775510,2183673.029015,2.183673,0.035772,39.999999,31.434913,833.774752
0.500000,47,47959.183673,2122448.574658,2.122449,0.035773,39.999717,31.434913,833.738065
0.500000,48,48979.591837,2061223.945983,2.061224,0.035775,39.999999,31.434913,833.700987
0.500000,49,50000.000000,2000000.000000,2.000000,0.035776,39.999717,31.434913,833.664303
5.500000,0,0.000000,5000000.000000,5.000000,0.362384,40.000000,31.434913,835.473157
5.500000,1,1020.408163,4938761.599550,4.938762,0.362385,39.996897,31.434913,835.438345
5.500000,2,2040.816327,4877525.859571,4.877526,0.362389,39.999991,31.434913,835.399232
5.500000,3,3061.224490,4816292.735771,4.816293,0.362395,39.996906,31.434913,835.364414
